os_name,os_version,ip_checksum,ip_df,ip_hdr_length,ip_id,ip_mf,ip_off,ip_protocol,ip_rf,ip_tos,ip_total_length,ip_ttl,ip_version,tcp_ack,tcp_checksum,tcp_flags,tcp_header_length,tcp_mss,tcp_off,tcp_options,tcp_seq,tcp_timestamp,tcp_timestamp_echo_reply,tcp_urp,tcp_window_scaling,tcp_window_size
Android,11,62632,1,5,50697,0,16384,6,0,0,60,55,4,0,7457,2,20,1420,10,"M1420,S,T,N,W9,",2857243666,78295222,0,0,9,65535
Android,11,38826,1,5,8968,0,16384,6,0,0,60,55,4,0,8849,2,20,1420,10,"M1420,S,T,N,W9,",998190079,78302048,0,0,9,65535
Android,9,31763,1,5,36073,0,16384,6,0,0,60,44,4,0,40021,2,20,1460,10,"M1460,S,T,N,W8,",173058940,17115029,0,0,8,65535
Windows,10,44755,1,5,49723,0,16384,6,0,0,52,56,4,0,27169,2,20,1452,8,"M1452,N,W8,N,N,S,",71254394,,,0,8,64240
Android,10,64594,1,5,34661,0,16384,6,0,0,60,47,4,0,53471,2,20,1400,10,"M1400,S,T,N,W8,",1832874805,6485072,0,0,8,65535
Windows,10,41029,0,5,7415,0,0,6,0,0,52,239,4,0,53975,2,20,1400,8,"M1400,N,W4,S,E,E,",2123350804,,,0,4,4200
Android,11,63371,1,5,7673,0,16384,6,0,0,60,51,4,0,36301,2,20,1400,10,"M1400,S,T,N,W10,",2767501159,8801282,0,0,10,65535
Windows,10,23365,0,5,58582,0,0,6,0,0,52,118,4,0,60893,2,20,1460,8,"M1460,N,W8,N,N,S,",3236022293,,,0,8,64240
Windows,10,24649,1,5,44499,0,16384,6,0,0,52,117,4,0,55970,2,20,1420,8,"M1420,N,W8,N,N,S,",1752194033,,,0,8,64240
Windows,10,45307,1,5,49171,0,16384,6,0,0,52,56,4,0,23027,2,20,1452,8,"M1452,N,W8,N,N,S,",723725194,,,0,8,64240
Android,10,15355,1,5,37967,0,16384,6,0,0,60,51,4,0,63892,2,20,1412,10,"M1412,S,T,N,W8,",3301504186,554518962,0,0,8,65535
Windows,10,45307,1,5,49171,0,16384,6,0,0,52,56,4,0,23027,2,20,1452,8,"M1452,N,W8,N,N,S,",723725194,,,0,8,64240
Android,10,44625,1,5,35112,0,16384,6,0,0,60,46,4,0,8515,2,20,1460,10,"M1460,S,T,N,W9,",2818977560,949352763,0,0,9,65535
Windows,10,45307,1,5,49171,0,16384,6,0,0,52,56,4,0,23027,2,20,1452,8,"M1452,N,W8,N,N,S,",723725194,,,0,8,64240
Windows,10,45307,1,5,49171,0,16384,6,0,0,52,56,4,0,23027,2,20,1452,8,"M1452,N,W8,N,N,S,",723725194,,,0,8,64240
Windows,10,45307,1,5,49171,0,16384,6,0,0,52,56,4,0,23027,2,20,1452,8,"M1452,N,W8,N,N,S,",723725194,,,0,8,64240
Windows,10,45307,1,5,49171,0,16384,6,0,0,52,56,4,0,23027,2,20,1452,8,"M1452,N,W8,N,N,S,",723725194,,,0,8,64240
Windows,10,45307,1,5,49171,0,16384,6,0,0,52,56,4,0,23027,2,20,1452,8,"M1452,N,W8,N,N,S,",723725194,,,0,8,64240
iOS,16.3,23578,1,5,0,0,16384,6,0,0,64,43,4,0,3337,2,20,1412,11,"M1412,N,W6,N,N,T,S,E,E,",2365542910,532226025,0,0,6,65535
Windows,10,45307,1,5,49171,0,16384,6,0,0,52,56,4,0,23027,2,20,1452,8,"M1452,N,W8,N,N,S,",723725194,,,0,8,64240
Windows,10,45307,1,5,49171,0,16384,6,0,0,52,56,4,0,23027,2,20,1452,8,"M1452,N,W8,N,N,S,",723725194,,,0,8,64240
iOS,16.3,23578,1,5,0,0,16384,6,0,0,64,43,4,0,11780,2,20,1412,11,"M1412,N,W6,N,N,T,S,E,E,",1537129435,676249057,0,0,6,65535
Windows,10,45307,1,5,49171,0,16384,6,0,0,52,56,4,0,23027,2,20,1452,8,"M1452,N,W8,N,N,S,",723725194,,,0,8,64240
Windows,10,45307,1,5,49171,0,16384,6,0,0,52,56,4,0,23027,2,20,1452,8,"M1452,N,W8,N,N,S,",723725194,,,0,8,64240
Windows,10,45307,1,5,49171,0,16384,6,0,0,52,56,4,0,23027,2,20,1452,8,"M1452,N,W8,N,N,S,",723725194,,,0,8,64240
Android,9,23639,1,5,43429,0,16384,6,0,0,60,47,4,0,55994,2,20,1460,10,"M1460,S,T,N,W8,",4108003813,17072192,0,0,8,65535
Android,10,48967,1,5,30770,0,16384,6,0,0,60,46,4,0,35659,2,20,1460,10,"M1460,S,T,N,W9,",2677071023,949348732,0,0,9,65535
Android,7.1.2,59986,1,5,4786,0,16384,6,0,136,60,49,4,0,44893,2,20,1400,10,"M1400,S,T,N,W8,",1911595337,34649083,0,0,8,65535
Android,11,32875,1,5,53576,0,16384,6,0,0,60,48,4,0,5022,2,20,1412,10,"M1412,S,T,N,W8,",1924765355,727544983,0,0,8,65535
Android,11,32875,1,5,53576,0,16384,6,0,0,60,48,4,0,5022,2,20,1412,10,"M1412,S,T,N,W8,",1924765355,727544983,0,0,8,65535
Android,11,49726,1,5,36725,0,16384,6,0,0,60,48,4,0,15426,2,20,1412,10,"M1412,S,T,N,W8,",3932495328,727534882,0,0,8,65535
Android,11,32875,1,5,53576,0,16384,6,0,0,60,48,4,0,5022,2,20,1412,10,"M1412,S,T,N,W8,",1924765355,727544983,0,0,8,65535
